K,u-g,g-r,u-z,u-K,Mv,CL,Typ,Teff,logg,Pop,Age,Mass,Mbol,Radius,[M/H],[a/Fe],longitude,latitude,RAJ2000,DECJ2000,Dist,x_Gal,y_Gal,z_Gal,Av,errMv,errMass,errAge,errTeff,errLogg,errMet,errAlphaFe,errBand_K,errBand_u,errBand_g,errBand_r,errBand_z
14.131,2.619,1.268,4.887,6.943,8.29,5,7.0,4074.0,4.66,7,8.6134,0.666,7.591,0.565,-0.217,0.011,208.957367,-19.368242,83.809998,-5.337644,0.6624,-8.5468,-0.3026,-0.2047,0.272,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0197,-0.0226,-0.0158,0.004,0.0189
17.969,3.279,1.619,6.576,8.722,13.0,5,7.35,3255.0,5.19,8,10.2172,0.251,10.795,0.187,-0.937,0.273,208.917221,-19.387293,83.775711,-5.312496,0.6731,-8.5558,-0.307,-0.2084,0.225,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0122,0.0184,0.0312,0.0105,-0.0246
17.099,3.165,1.458,6.581,8.806,12.3,5,7.35,3309.0,5.05,6,6.1162,0.3,10.193,0.248,0.149,-0.053,208.911163,-19.421709,83.742302,-5.322978,0.6945,-8.5733,-0.3166,-0.2159,0.298,0.0,0.1,0.1,50.0,0.1,0.1,0.02,4.0E-4,0.0034,0.0143,-5.0E-4,0.0173
13.608,2.616,1.255,4.753,6.819,8.13,5,6.7,4047.0,4.72,6,5.9454,0.507,7.291,0.613,-0.075,0.031,208.919876,-19.33346,83.825058,-5.290351,0.6967,-8.5755,-0.3179,-0.2157,0.253,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0271,-0.0104,-0.0054,-0.0047,-0.0036
13.04,2.535,1.045,4.177,6.004,6.87,5,6.4,4576.0,4.67,4,2.5992,0.872,6.357,0.759,0.033,-0.013,209.096786,-19.424299,83.819534,-5.480283,0.6882,-8.5671,-0.3156,-0.2139,0.242,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0129,-0.0201,0.0308,-0.007,-0.0304
15.647,2.722,1.362,5.304,7.395,10.01,5,7.1,3855.0,4.83,8,10.0757,0.441,8.753,0.371,-0.013,0.063,209.045685,-19.371685,83.844749,-5.413503,0.6989,-8.5764,-0.3201,-0.2168,0.238,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0149,0.0176,0.0131,0.0077,0.027
19.208,3.213,1.503,7.147,9.241,14.76,5,7.5,3014.0,5.21,4,2.2845,0.075,11.984,0.126,-0.088,-0.011,209.033249,-19.399832,83.814209,-5.415771,0.7077,-8.5836,-0.3239,-0.2201,0.233,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0191,-0.0072,0.0257,0.0339,0.0016
18.671,3.23,1.454,7.088,9.251,14.24,5,7.5,3107.0,5.13,7,8.6518,0.137,11.76,0.138,0.086,0.032,208.957108,-19.417435,83.765823,-5.359687,0.7061,-8.5826,-0.3224,-0.2197,0.281,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0259,-0.005,-0.0365,0.0186,0.0074
18.638,3.224,1.57,7.004,9.123,14.04,5,7.45,3201.0,5.02,6,6.0001,0.17,11.462,0.156,-0.366,0.006,208.901474,-19.38921,83.767242,-5.300117,0.7023,-8.58,-0.3202,-0.2182,0.26,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0138,-0.0413,0.0164,-0.0059,0.0213
17.687,3.013,1.461,6.641,8.733,12.96,5,7.4,3148.0,5.05,5,3.8444,0.218,10.748,0.206,0.103,0.008,209.003311,-19.379816,83.819344,-5.381528,0.7089,-8.5849,-0.3243,-0.2202,0.241,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0012,-0.0059,0.0098,0.0157,0.0071
17.039,3.128,1.408,6.417,8.604,12.12,5,7.3,3340.0,4.99,5,3.9915,0.303,10.072,0.258,-0.141,-0.018,208.966125,-19.357924,83.823006,-5.34034,0.7141,-8.5894,-0.3263,-0.2217,0.227,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0434,-0.017,-0.0183,0.0132,-0.0128
15.3,2.73,1.38,5.456,7.516,9.73,5,7.1,3629.0,4.57,7,8.3738,0.586,8.785,0.38,-0.134,0.052,209.103271,-19.484293,83.768524,-5.512848,0.7088,-8.5838,-0.325,-0.2214,0.226,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0058,-0.0059,0.0303,0.0213,-0.0132
17.47,2.812,1.567,5.81,7.843,11.98,5,7.25,3518.0,5.08,8,10.0105,0.184,10.076,0.234,-0.58,0.274,208.966354,-19.389008,83.79525,-5.354591,0.7063,-8.5829,-0.3227,-0.2195,0.298,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0036,0.011,0.0131,-0.026,-0.0025
15.588,2.806,1.339,5.609,7.741,10.09,5,7.15,3572.0,4.94,4,2.5098,0.453,8.991,0.357,-0.177,0.027,209.101517,-19.425476,83.820496,-5.484791,0.7365,-8.6069,-0.3378,-0.23,0.236,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0138,0.0073,0.0088,0.0285,-0.0038
15.179,2.599,1.35,5.152,7.259,9.45,5,7.05,3850.0,4.55,5,3.9319,0.453,8.28,0.449,0.024,0.011,209.050873,-19.314766,83.897972,-5.392131,0.7214,-8.5952,-0.3306,-0.2236,0.238,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0071,-0.0132,0.0426,0.0145,0.0177
